Loaded model from: checkpoints\lr1e-4_ent0.01\lr1e-4_ent0.01_final.pt
[subdiv=2] Ep     1 | Opp vs_random | Ret   60.80 | AvgRet   60.80 | WinRate 1.000 | Loss 10.1552 | VLoss 19.9420 | Ent 3.4929 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep     2 | Opp vs_random | Ret   75.60 | AvgRet   68.20 | WinRate 0.500 | Loss 21.4566 | VLoss 42.1121 | Ent 2.3450 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep     3 | Opp vs_random | Ret   30.50 | AvgRet   55.63 | WinRate 0.333 | Loss 14.9333 | VLoss 30.2160 | Ent 3.4936 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep     4 | Opp vs_random | Ret   84.30 | AvgRet   62.80 | WinRate 0.250 | Loss 10.8714 | VLoss 20.8999 | Ent 2.9491 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep     5 | Opp vs_random | Ret    5.30 | AvgRet   51.30 | WinRate 0.400 | Loss 10.7479 | VLoss 21.2490 | Ent 3.6429 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep     6 | Opp vs_random | Ret   73.40 | AvgRet   54.98 | WinRate 0.500 | Loss 6.7400 | VLoss 12.6937 | Ent 3.4682 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep     7 | Opp vs_random | Ret   60.30 | AvgRet   55.74 | WinRate 0.429 | Loss 15.7498 | VLoss 30.5317 | Ent 2.8312 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep     8 | Opp self_play | Ret   69.20 | AvgRet   57.42 | WinRate 0.500 | Loss 9.9372 | VLoss 18.8282 | Ent 3.2529 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep     9 | Opp vs_random | Ret   67.90 | AvgRet   58.59 | WinRate 0.444 | Loss 24.8395 | VLoss 48.8638 | Ent 2.3831 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    10 | Opp self_play | Ret   61.00 | AvgRet   58.83 | WinRate 0.500 | Loss 4.2448 | VLoss 8.3117 | Ent 3.2182 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    11 | Opp vs_random | Ret   73.70 | AvgRet   60.18 | WinRate 0.545 | Loss 7.4390 | VLoss 13.5547 | Ent 3.3705 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    12 | Opp vs_random | Ret   39.20 | AvgRet   58.43 | WinRate 0.583 | Loss 6.0565 | VLoss 11.3997 | Ent 3.6275 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    13 | Opp self_play | Ret   81.40 | AvgRet   60.20 | WinRate 0.615 | Loss 8.9951 | VLoss 17.2374 | Ent 3.0941 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    14 | Opp vs_random | Ret   87.20 | AvgRet   62.13 | WinRate 0.643 | Loss 4.4906 | VLoss 9.0854 | Ent 3.4642 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    15 | Opp self_play | Ret   71.40 | AvgRet   62.75 | WinRate 0.667 | Loss 8.4441 | VLoss 17.5684 | Ent 3.5124 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    16 | Opp vs_random | Ret   36.20 | AvgRet   61.09 | WinRate 0.625 | Loss 14.3439 | VLoss 27.9094 | Ent 3.2529 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    17 | Opp vs_random | Ret   89.30 | AvgRet   62.75 | WinRate 0.588 | Loss 4.6994 | VLoss 9.3701 | Ent 2.4603 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    18 | Opp vs_random | Ret   67.20 | AvgRet   62.99 | WinRate 0.556 | Loss 2.7607 | VLoss 5.2814 | Ent 3.4907 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    19 | Opp vs_random | Ret   79.20 | AvgRet   63.85 | WinRate 0.579 | Loss 13.4345 | VLoss 27.2160 | Ent 3.4834 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    20 | Opp vs_random | Ret   83.00 | AvgRet   64.80 | WinRate 0.550 | Loss 1.4309 | VLoss 2.1832 | Ent 3.2812 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    21 | Opp self_play | Ret   85.60 | AvgRet   65.80 | WinRate 0.571 | Loss 10.3644 | VLoss 21.2516 | Ent 3.0698 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    22 | Opp vs_random | Ret   62.40 | AvgRet   65.64 | WinRate 0.545 | Loss 17.9068 | VLoss 35.2166 | Ent 2.7279 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    23 | Opp vs_random | Ret   70.30 | AvgRet   65.84 | WinRate 0.565 | Loss 2.5470 | VLoss 5.2343 | Ent 3.4108 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    24 | Opp vs_random | Ret   80.80 | AvgRet   66.47 | WinRate 0.542 | Loss 1.2083 | VLoss 2.7454 | Ent 3.3928 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    25 | Opp self_play | Ret   50.90 | AvgRet   65.84 | WinRate 0.560 | Loss 9.4974 | VLoss 18.6182 | Ent 3.2660 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    26 | Opp vs_random | Ret   66.80 | AvgRet   65.88 | WinRate 0.577 | Loss 4.9039 | VLoss 10.0285 | Ent 3.3419 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    27 | Opp vs_random | Ret   79.30 | AvgRet   66.38 | WinRate 0.593 | Loss 5.9910 | VLoss 10.9399 | Ent 3.4311 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    28 | Opp vs_random | Ret   66.00 | AvgRet   66.36 | WinRate 0.607 | Loss 6.7773 | VLoss 13.5155 | Ent 3.5837 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    29 | Opp self_play | Ret   63.70 | AvgRet   66.27 | WinRate 0.621 | Loss 4.6201 | VLoss 9.3385 | Ent 3.4996 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    30 | Opp vs_random | Ret   71.10 | AvgRet   66.43 | WinRate 0.600 | Loss 1.7312 | VLoss 4.2825 | Ent 3.3267 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    31 | Opp self_play | Ret   66.20 | AvgRet   66.43 | WinRate 0.581 | Loss 8.0474 | VLoss 15.8891 | Ent 3.4888 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    32 | Opp self_play | Ret   52.70 | AvgRet   66.00 | WinRate 0.562 | Loss 4.2534 | VLoss 8.3669 | Ent 3.4002 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    33 | Opp vs_random | Ret   80.30 | AvgRet   66.43 | WinRate 0.545 | Loss 6.1131 | VLoss 11.4820 | Ent 3.0653 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    34 | Opp self_play | Ret   72.90 | AvgRet   66.62 | WinRate 0.529 | Loss 13.1358 | VLoss 24.9685 | Ent 3.2274 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    35 | Opp vs_random | Ret   65.80 | AvgRet   66.60 | WinRate 0.514 | Loss 2.6462 | VLoss 5.5952 | Ent 3.4461 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    36 | Opp self_play | Ret   46.50 | AvgRet   66.04 | WinRate 0.500 | Loss 10.9099 | VLoss 22.5360 | Ent 3.7454 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    37 | Opp self_play | Ret   63.30 | AvgRet   65.96 | WinRate 0.514 | Loss 4.7368 | VLoss 9.1828 | Ent 3.2681 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    38 | Opp vs_random | Ret   58.20 | AvgRet   65.76 | WinRate 0.500 | Loss 1.5822 | VLoss 2.6570 | Ent 3.4723 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    39 | Opp self_play | Ret   32.30 | AvgRet   64.90 | WinRate 0.513 | Loss 9.4759 | VLoss 19.3213 | Ent 3.6220 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    40 | Opp vs_random | Ret   64.80 | AvgRet   64.90 | WinRate 0.500 | Loss 20.2230 | VLoss 40.5135 | Ent 3.2664 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    41 | Opp self_play | Ret   52.80 | AvgRet   64.60 | WinRate 0.512 | Loss 10.7476 | VLoss 21.4786 | Ent 3.3287 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    42 | Opp vs_random | Ret   70.00 | AvgRet   64.73 | WinRate 0.524 | Loss 7.0854 | VLoss 14.4066 | Ent 3.4250 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    43 | Opp vs_random | Ret   56.60 | AvgRet   64.54 | WinRate 0.512 | Loss 7.2242 | VLoss 14.4496 | Ent 3.3563 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    44 | Opp vs_random | Ret   75.00 | AvgRet   64.78 | WinRate 0.523 | Loss 3.8355 | VLoss 7.1793 | Ent 3.4066 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    45 | Opp vs_random | Ret   63.20 | AvgRet   64.75 | WinRate 0.533 | Loss 2.5350 | VLoss 4.2340 | Ent 3.3748 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    46 | Opp vs_random | Ret   67.90 | AvgRet   64.82 | WinRate 0.543 | Loss 4.5285 | VLoss 8.4271 | Ent 3.5297 | EntCoef 0.00000 | Winner: 0
